Index,Postcode,Column,Value
67,1105.0,income_1_to_40_percent 2017.0,93.3
67,1105.0,income_1_to_40_percent 2018.0,92.6
67,1105.0,income_1_to_40_percent 2019.0,88.7
67,1105.0,income_41_to_80_percent 2017.0,5.3
67,1105.0,income_41_to_80_percent 2018.0,5.6
67,1105.0,income_41_to_80_percent 2019.0,9.4
67,1105.0,income_average 2017.0,11.8
67,1105.0,income_average 2018.0,13.5
67,1105.0,income_average 2019.0,16.0
70,1108.0,income_41_to_80_percent 2017.0,46.0
70,1108.0,income_41_to_80_percent 2018.0,46.5
